name,year,selling_price,km_driven
Maruti 800 AC,2007,60000,70000
Maruti Wagon R LXI Minor,2007,135000,50000
Hyundai Verna 1.6 SX,2012,600000,100000
Datsun RediGO T Option,2017,250000,46000
Honda Amaze VX i-DTEC,2014,450000,141000
Maruti Alto LX BSIII,2007,140000,125000
Hyundai Xcent 1.2 Kappa S,2016,550000,25000
Tata Indigo Grand Petrol,2014,240000,60000
Hyundai Creta 1.6 VTVT S,2015,850000,25000
Maruti Celerio Green VXI,2017,365000,78000
Chevrolet Sail 1.2 Base,2015,260000,35000
Tata Indigo Grand Petrol,2014,250000,100000
Toyota Corolla Altis 1.8 VL CVT,2018,1650000,25000
Maruti 800 AC,2007,60000,70000
Maruti Wagon R LXI Minor,2007,135000,50000
Hyundai Verna 1.6 SX,2012,600000,100000
Datsun RediGO T Option,2017,250000,46000
Honda Amaze VX i-DTEC,2014,450000,141000
Maruti Alto LX BSIII,2007,140000,125000
Hyundai Xcent 1.2 Kappa S,2016,550000,25000
Tata Indigo Grand Petrol,2014,240000,60000
Hyundai Creta 1.6 VTVT S,2015,850000,25000
Maruti Celerio Green VXI,2017,365000,78000
Chevrolet Sail 1.2 Base,2015,260000,35000
Tata Indigo Grand Petrol,2014,250000,100000
Toyota Corolla Altis 1.8 VL CVT,2018,1650000,25000
Maruti Ciaz VXi Plus,2015,585000,24000
Hyundai Venue SX Opt Diesel,2019,1195000,5000
Chevrolet Enjoy TCDi LTZ 7 Seater,2013,390000,33000
Jaguar XF 2.2 Litre Luxury,2014,1964999,28000
Mercedes-Benz New C-Class 220 CDI AT,2013,1425000,59000
Maruti Vitara Brezza ZDi Plus AMT,2018,975000,4500
Audi Q5 2.0 TDI,2011,1190000,175900
Honda City V MT,2018,930000,14500
Tata Tigor 1.2 Revotron XT,2018,525000,15000
Audi A6 2.0 TDI  Design Edition,2013,1735000,50000
Mercedes-Benz New C-Class C 220 CDI Avantgarde,2012,1375000,33800
Skoda Superb Ambition 2.0 TDI CR AT,2011,450000,130400
Toyota Corolla Altis G AT,2016,900000,50000
Toyota Innova 2.5 G (Diesel) 7 Seater,2015,1300000,80000
Jeep Compass 1.4 Sport Plus BSIV,2019,1400000,10000
Mercedes-Benz E-Class E 200 CGI Elegance,2010,850000,119000
Hyundai i10 Magna 1.1L,2014,229999,60000
BMW 3 Series 320d Sport Line,2013,1550000,75800
Audi Q7 35 TDI Quattro Premium,2009,1250000,78000
Hyundai Elantra CRDi S,2012,625000,40000
Mahindra Scorpio 1.99 S10,2014,1050000,50000
Honda City i DTEC V,2014,560000,74000
Maruti Wagon R VXI BS IV with ABS,2014,290000,64000
Maruti Wagon R VXI BS IV,2012,275000,60000
Mahindra Scorpio LX,2009,411000,120000
Hyundai Santro Xing GLS,2009,150000,79000
Hyundai Grand i10 1.2 Kappa Asta,2019,500000,15000
Maruti Alto LXi,2006,100000,80000
Maruti Swift Dzire VDI Optional,2017,725000,18500
Maruti Eeco 5 Seater AC BSIV,2018,401000,10200
Hyundai i20 Sportz 1.4 CRDi,2018,750000,29000
Maruti Omni Maruti Omni MPI STD BSIII 5-STR W/ IMMOBILISER,2018,310000,28000
Maruti Swift ZDi BSIV,2016,665000,46000
Hyundai i20 2015-2017 Sportz Option 1.4 CRDi,2014,465000,70000
Maruti Alto LXi,2012,160000,60000
Mahindra Jeep CL 500 MDI,1996,250000,35000
Honda City i DTEC VX,2014,675000,90000
Maruti Wagon R VXI BS IV,2013,300000,80000
Tata Indica DLS,2005,70000,80000
Hyundai EON Magna Plus,2014,240000,73300
Toyota Etios GD,2014,525000,92000
Maruti Alto LXi,2009,151000,66764
Maruti Alto LXi,2009,140000,100000
Chevrolet Tavera Neo LS B3 - 7(C) seats BSIII,2010,280000,350000
Toyota Corolla Altis Diesel D4DG,2011,350000,230000
Mahindra Scorpio 1.99 S6 Plus,2017,570000,60000
Hyundai EON Magna Plus,2018,300000,31000
Tata Indigo Classic Dicor,2007,100000,39000
Toyota Innova 2.5 V Diesel 8-seater,2009,500000,120000
Tata Indica Vista Quadrajet LS,2014,125000,166000
Maruti Swift 1.3 VXi,2006,130000,110000
Ford EcoSport 1.5 Diesel Titanium BSIV,2017,925000,35000
Maruti Ciaz 1.3 Delta,2018,750000,60000
